AÑO,Grupo_Edad,POBLACION,TOTAL,PORCENTAJE
1992,0-17,4756539,13658885,34.82377221859617
1992,60+,1230417,13658885,9.008180389541314
1993,0-17,4789378,13882702,34.49888933724861
1993,60+,1270072,13882702,9.148593695953425
1994,0-17,4826832,14099547,34.23395092055085
1994,60+,1305424,14099547,9.258623699045083
1995,0-17,4867119,14313307,34.00415431598023
1995,60+,1341396,14313307,9.371670711736988
1996,0-17,4904658,14514784,33.79077497811886
1996,60+,1375847,14514784,9.478935408201734
1997,0-17,4935813,14712777,33.54779998364686
1997,60+,1411222,14712777,9.591812612941798
1998,0-17,4953322,14906908,33.22836633861294
1998,60+,1448660,14906908,9.718044815195746
1999,0-17,4954014,15096332,32.81601120060157
1999,60+,1486602,15096332,9.847438437363461
2000,0-17,4938958,15275277,32.333017594378155
2000,60+,1526583,15275277,9.993815496766443
2001,0-17,4923662,15455963,31.856067460824022
2001,60+,1575525,15455963,10.193638532907979
2002,0-17,4912025,15631165,31.424561125162455
2002,60+,1626308,15631165,10.404266092770436
2003,0-17,4896101,15800683,30.98664152682514
2003,60+,1681251,15800683,10.640369153662535
2004,0-17,4872085,15963516,30.520124764494238
2004,60+,1738897,15963516,10.892944887579905
2005,0-17,4837622,16119699,30.010622406783156
2005,60+,1797432,16119699,11.150530788447105
2006,0-17,4791371,16277000,29.43645020581188
2006,60+,1858294,16277000,11.416686121521165
2007,0-17,4733301,16436485,28.797525748357998
2007,60+,1922224,16436485,11.694860549563973
2008,0-17,4671191,16597239,28.144385942746258
2008,60+,1980481,16597239,11.932593125880757
2009,0-17,4615007,16767209,27.524002354834366
2009,60+,2046725,16767209,12.206712518463867
2010,0-17,4570094,16943751,26.972150381577254
2010,60+,2123013,16943751,12.52976982487526
2011,0-17,4530728,17117037,26.469113784120463
2011,60+,2198214,17117037,12.842257687472427
2012,0-17,4492328,17292112,25.979059122448433
2012,60+,2277504,17292112,13.170768267057257
2013,0-17,4455597,17469085,25.505611770736703
2013,60+,2358825,17469085,13.502853755648909
2014,0-17,4427037,17649931,25.082460662310808
2014,60+,2448472,17649931,13.872416838343446
2015,0-17,4412222,17848794,24.720000690242713
2015,60+,2545895,17848794,14.26368078425915
2016,0-17,4402198,18060943,24.37413151683165
2016,60+,2644788,18060943,14.643687209466306
2017,0-17,4397252,18320989,24.001171552474595
2017,60+,2750264,18320989,15.011547684461792
2018,0-17,4395905,18600071,23.633807634390212
2018,60+,2861113,18600071,15.382269239724945
2019,0-17,4406714,18908921,23.304946908393134
2019,60+,2982920,18908921,15.775199441575753
2020,0-17,4401590,19171154,22.959442086793523
2020,60+,3113003,19171154,16.237953124783203
2021,0-17,4363377,19299932,22.608250640468576
2021,60+,3234949,19299932,16.761452838279432
2022,0-17,4337888,19483291,22.264657444165874
2022,60+,3357554,19483291,17.232992105902436
2023,0-17,4325941,19679864,21.981559425410662
2023,60+,3484002,19679864,17.70338453558419
2024,0-17,4283115,19832867,21.596045594416584
2024,60+,3626826,19832867,18.286947620835655
2025,0-17,4223015,19975778,21.140678475701925
2025,60+,3771357,19975778,18.87965014428975
2026,0-17,4138171,20097562,20.59041290679934
2026,60+,3914720,20097562,19.478581531431523
2027,0-17,4035986,20204343,19.97583390858094
2027,60+,4056599,20204343,20.077856528173175
2028,0-17,3921075,20299941,19.315696533305196
2028,60+,4196694,20299941,20.673429543465176
2029,0-17,3800530,20384534,18.64418386998692
2029,60+,4334207,20384534,21.262232435629873
2030,0-17,3676652,20458278,17.971463678419074
2030,60+,4467144,20458278,21.835386145402854
2031,0-17,3550625,20521353,17.302099915146922
2031,60+,4595731,20521353,22.394873281503415
2032,0-17,3420766,20571946,16.62830536304149
2032,60+,4723635,20571946,22.961537036894807
2033,0-17,3276922,20609469,15.900079715785012
2033,60+,4852898,20609469,23.54693369343965
2034,0-17,3134524,20633604,15.191354840385616
2034,60+,4986320,20633604,24.16601578667498
2035,0-17,3000938,20644406,14.5363252398737
2035,60+,5120816,20644406,24.804859970298978
2036,0-17,2877476,20642572,13.939522652506675
2036,60+,5248075,20642572,25.423551871346266
2037,0-17,2750154,20629075,13.331446029451152
2037,60+,5364692,20629075,26.005489824434687
2038,0-17,2634268,20605185,12.784490893918205
2038,60+,5473193,20605185,26.56221237518615
2039,0-17,2533545,20572117,12.315431610660196
2039,60+,5573715,20572117,27.093541223783628
2040,0-17,2450134,20531389,11.933600790477449
2040,60+,5674683,20531389,27.63906036751824
2041,0-17,2356351,20484842,11.502900534941887
2041,60+,5781120,20484842,28.221452720992428
2042,0-17,2279232,20433520,11.15437770878439
2042,60+,5897909,20433520,28.863891292347084
2043,0-17,2222320,20377535,10.905735163747725
2043,60+,6019753,20377535,29.541124576647764
2044,0-17,2179259,20317020,10.726272849069401
2044,60+,6138356,20317020,30.212875707165715
2045,0-17,2144550,20252067,10.589289478451755
2045,60+,6249087,20252067,30.856539236217223
2046,0-17,2114308,20182761,10.475811510625329
2046,60+,6355210,20182761,31.488308264662106
2047,0-17,2088226,20109166,10.38444856440093
2047,60+,6462795,20109166,32.138553135420935
2048,0-17,2066007,20031302,10.313892726493764
2048,60+,6573931,20031302,32.818291092610956
2049,0-17,2047260,19949090,10.262422997740748
2049,60+,6695133,19949090,33.56109476672871
2050,0-17,2031550,19862467,10.228084960443232
2050,60+,6826770,19862467,34.370201848541775
2051,0-17,2018337,19771248,10.208445111810848
2051,60+,6967836,19771248,35.24226695249587
2052,0-17,2006977,19675197,10.200543354152947
2052,60+,7107071,19675197,36.12198139617103
2053,0-17,1996762,19574061,10.201061496640886
2053,60+,7239076,19574061,36.98300521286819
2054,0-17,1986649,19467533,10.204934544094519
2054,60+,7362711,19467533,37.82046240784592
2055,0-17,1975600,19355378,10.206982266117457
2055,60+,7479500,19355378,38.64300661035915
2056,0-17,1962716,19237404,10.202603220268182
2056,60+,7589654,19237404,39.45258934105662
2057,0-17,1947589,19113534,10.18958084883727
2057,60+,7687836,19113534,40.22194953586291
2058,0-17,1929971,18983783,10.166419411768455
2058,60+,7779295,18983783,40.978634237443615
2059,0-17,1909727,18848301,10.132090950797105
2059,60+,7861293,18848301,41.70823142096468
2060,0-17,1886822,18707304,10.086017739381367
2060,60+,7935869,18707304,42.42123290453825
2061,0-17,1861295,18561111,10.027928823872665
2061,60+,7999340,18561111,43.097312439971944
2062,0-17,1833233,18410047,9.957785550466005
2062,60+,8056904,18410047,43.763625372602256
2063,0-17,1802777,18254447,9.875823682853827
2063,60+,8107630,18254447,44.41454731551167
2064,0-17,1770123,18094635,9.782584727462035
2064,60+,8147800,18094635,45.02881655253063
2065,0-17,1735508,17930943,9.678843996102158
2065,60+,8180328,17930943,45.62129275632631
2066,0-17,1699225,17763662,9.56573593890719
2066,60+,8205710,17763662,46.19379720240117
2067,0-17,1661633,17593073,9.444813876461492
2067,60+,8228832,17593073,46.77313622242117
2068,0-17,1623153,17419399,9.318076932504962
2068,60+,8250176,17419399,47.362001410037166
2069,0-17,1584281,17242828,9.188057782632871
2069,60+,8276341,17242828,47.99874475347083
2070,0-17,1545557,17063526,9.057664869500009
2070,60+,8305591,17063526,48.67452951986594
